Hebrews,1,1-2,3,6,8,10,14
Hebrews,2,1,9,10,17,18
Hebrews,3,1,6,12-13,14
Hebrews,4,1,9-10,11,12,13,14,15,16
Hebrews,5,7,8-9,14
Hebrews,6,1,10,11,12,17,18,19
Hebrews,7,24,25,26,27,28
Hebrews,8,1,6,10 (Q),12
Hebrews,9,11,12,14,15,22,24,26,27-28
Hebrews,10,10,12,14,16,22,23,24-25,30,31,36,37
Hebrews,11,1,3,4,6,7,11,13,27,28
Hebrews,12,1,2,3,5-6 (FTN),11,14,15,16,28-29
Hebrews,13,2,4,5,8,15,16,20,21
1 Peter,1,3,4,7,8,9,13,15,16 (FT),20,21,23,25
1 Peter,2,2,3,6 (FT),9,10,11,12,17,22,24
1 Peter,3,8,9,10,11,12,15,18
1 Peter,4,8,9,10-11,13
1 Peter,5,5,6,7,8,10
2 Peter,1,3,10-11,16,17,20-21
2 Peter,3,2,8,9,10,13,14,17,18
