Hebrews,1,1-2,3,8-9 (FTN),13 (FT)
Hebrews,2,3-4,9,10,11,17,18
Hebrews,3,1,6,12-13
Hebrews,4,1,9-10,12,13,14,15,16
Hebrews,5,5,7,8-9
Hebrews,6,7-8,12,19-20
Hebrews,7,22,25,26,27,28
Hebrews,8,8-9 (FTN),10 (Q),11,12
Hebrews,9,11,15,24,25-26,27-28
Hebrews,10,1,5-6 (FTN),14,17 (FT),22,23,24-25,26-27,31,39
Hebrews,11,1,3,6
Hebrews,12,1-2,3,5-6 (FTN),9,11,14,15,25,28-29
Hebrews,13,1,2,3,4,5,6 (FT),8,12-13,15,16,17,20-21
1 Peter,1,3-4,6-7,16 (FT),18-19,22,23,24-25 (FTN)
1 Peter,2,4-5,6 (FT),9,12,16,17,21,23,24
1 Peter,3,1-2,3-4,7,8,9,12,15-16,18
1 Peter,4,6,8,9,10-11,15-16,19
1 Peter,5,2-3,5,6,7,8-9,10-11
2 Peter,1,3-4,5-6,10-11,16,17,20-21 (Q2V)
2 Peter,2,1,3,18-19,20-21
2 Peter,3,8,9,10,11-12,13,15-16,18
